job_id,company,job-title,level,long_url
3873040882,Partners Group,Quantitative analyst,Mid-Senior level,https://sg.linkedin.com/jobs/view/quantitative-analyst-at-partners-group-3873040882?position=1&pageNum=22&refId=s5zvmcJD0FRx3rx5eg%2FunQ%3D%3D&trackingId=Z23DiVMdl1bP60pguk1uxg%3D%3D&trk=public_jobs_jserp-result_search-card
3728131297,Michael Page,Data Analyst - Payments (Fintech),Entry level,https://sg.linkedin.com/jobs/view/data-analyst-payments-fintech-at-michael-page-3728131297?position=2&pageNum=22&refId=s5zvmcJD0FRx3rx5eg%2FunQ%3D%3D&trackingId=9EJEgNvHNusrWeAZbGmFwA%3D%3D&trk=public_jobs_jserp-result_search-card
3857019434,Standard Chartered,"Director, Data Analyst, ESG Delivery",Director,https://sg.linkedin.com/jobs/view/director-data-analyst-esg-delivery-at-standard-chartered-3857019434?position=3&pageNum=22&refId=s5zvmcJD0FRx3rx5eg%2FunQ%3D%3D&trackingId=NVplfIUPAKs0jf7YDRduSw%3D%3D&trk=public_jobs_jserp-result_search-card
3822437512,TikTok,"Operations Data Analyst, Trust & Safety",Not Applicable,https://sg.linkedin.com/jobs/view/operations-data-analyst-trust-safety-at-tiktok-3822437512?position=4&pageNum=22&refId=s5zvmcJD0FRx3rx5eg%2FunQ%3D%3D&trackingId=9QZfIv4PVhjM%2FP%2F14okuvA%3D%3D&trk=public_jobs_jserp-result_search-card
3748564882,,,,https://sg.linkedin.com/jobs/view/senior-bi-analyst-at-okx-3748564882?position=5&pageNum=22&refId=s5zvmcJD0FRx3rx5eg%2FunQ%3D%3D&trackingId=sbzq45s5cc%2BITPuQOx7zdA%3D%3D&trk=public_jobs_jserp-result_search-card
3825462088,OKX,Growth Data Analytics Intern (1 year),Internship,https://sg.linkedin.com/jobs/view/growth-data-analytics-intern-1-year-at-okx-3825462088?position=6&pageNum=22&refId=s5zvmcJD0FRx3rx5eg%2FunQ%3D%3D&trackingId=BpV7YT2J3jqiw6zVgDJ%2BYQ%3D%3D&trk=public_jobs_jserp-result_search-card
3736228398,,,,https://sg.linkedin.com/jobs/view/data-analyst-data-scientist-nus-office-of-data-and-intelligence-at-national-university-of-singapore-3736228398?position=7&pageNum=22&refId=s5zvmcJD0FRx3rx5eg%2FunQ%3D%3D&trackingId=GOOdNM00n0384rrthnkGBw%3D%3D&trk=public_jobs_jserp-result_search-card
3801243392,Synapxe,Data Analyst - Data Concierge (MOH),Entry level,https://sg.linkedin.com/jobs/view/data-analyst-data-concierge-moh-at-synapxe-3801243392?position=8&pageNum=22&refId=s5zvmcJD0FRx3rx5eg%2FunQ%3D%3D&trackingId=hnK90lAkcC9QfjPx%2FmMHwg%3D%3D&trk=public_jobs_jserp-result_search-card
3858712458,,,,https://sg.linkedin.com/jobs/view/data-engineering-trainee-at-luxoft-3858712458?position=9&pageNum=22&refId=s5zvmcJD0FRx3rx5eg%2FunQ%3D%3D&trackingId=azGxYSewm%2BAx5DuuF02Jlg%3D%3D&trk=public_jobs_jserp-result_search-card
3808122870,Schneider Electric,Regional Commercial Analytics Intern,Not Applicable,https://sg.linkedin.com/jobs/view/regional-commercial-analytics-intern-at-schneider-electric-3808122870?position=10&pageNum=22&refId=s5zvmcJD0FRx3rx5eg%2FunQ%3D%3D&trackingId=6vk1QOZ3IoZa7BdOI10m7w%3D%3D&trk=public_jobs_jserp-result_search-card
3849081850,Randstad Singapore,Airfreight Data Analyst (Cargowise),Entry level,https://sg.linkedin.com/jobs/view/airfreight-data-analyst-cargowise-at-randstad-singapore-3849081850?position=1&pageNum=25&refId=7YbPzlA8YH8xlAs%2FlA74xg%3D%3D&trackingId=FEkNxWDzERshwqNT1TSyvQ%3D%3D&trk=public_jobs_jserp-result_search-card
3707281660,,,,https://sg.linkedin.com/jobs/view/cybersecurity-data-analyst-%E2%80%93-data-analytics-and-intel-at-imda-3707281660?position=2&pageNum=25&refId=7YbPzlA8YH8xlAs%2FlA74xg%3D%3D&trackingId=KvD25TjjYN4bE573mwPijg%3D%3D&trk=public_jobs_jserp-result_search-card
3797548389,Tencent,WeChat - Data Scientist (Data Analytics),Associate,https://sg.linkedin.com/jobs/view/wechat-data-scientist-data-analytics-at-tencent-3797548389?position=3&pageNum=25&refId=7YbPzlA8YH8xlAs%2FlA74xg%3D%3D&trackingId=6RW1D5Jg6aVdgHUBvXZ5Cw%3D%3D&trk=public_jobs_jserp-result_search-card
3750107996,,,,https://sg.linkedin.com/jobs/view/data-analyst-data-scientist-nus-office-of-data-and-intelligence-at-national-university-of-singapore-3741318455?position=6&pageNum=25&refId=7YbPzlA8YH8xlAs%2FlA74xg%3D%3D&trackingId=Me1g0D1iBV00BzANYy80ug%3D%3D&trk=public_jobs_jserp-result_search-card
3741318455,National University of Singapore,Data Analyst / Data Scientist (NUS - Office of Data and Intelligence),Not Applicable,https://sg.linkedin.com/jobs/view/customer-intelligence-analyst-japan-market-at-procter-gamble-3797616109?position=7&pageNum=25&refId=7YbPzlA8YH8xlAs%2FlA74xg%3D%3D&trackingId=INXXyzGtpHmqTx7Gsfqz0A%3D%3D&trk=public_jobs_jserp-result_search-card
3797616109,Procter & Gamble,Customer Intelligence Analyst (Japan Market),Not Applicable,https://sg.linkedin.com/jobs/view/lng-data-analyst-%E2%80%93-singapore-at-kpler-3865176882?position=8&pageNum=25&refId=7YbPzlA8YH8xlAs%2FlA74xg%3D%3D&trackingId=4XOzKqNFblOOQZI6nM9OTg%3D%3D&trk=public_jobs_jserp-result_search-card
3865176882,Kpler,LNG Data Analyst – Singapore,Entry level,https://sg.linkedin.com/jobs/view/data-engineer-sql-data-warehousing-at-manpower-singapore-3859594954?position=9&pageNum=25&refId=7YbPzlA8YH8xlAs%2FlA74xg%3D%3D&trackingId=D02MR7Zo0lmVEifgqEACgQ%3D%3D&trk=public_jobs_jserp-result_search-card
3859594954,Manpower Singapore,Data Engineer - SQL & Data warehousing,Entry level,https://sg.linkedin.com/jobs/view/expression-of-interest-data-scientist-fresh-grad-at-hoyoverse-3844348914?position=10&pageNum=25&refId=7YbPzlA8YH8xlAs%2FlA74xg%3D%3D&trackingId=czjpL2BraQ86C72TaFtojw%3D%3D&trk=public_jobs_jserp-result_search-card
